RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index
25,12,0,-240.28,-6.815,16.17,475.34,A2356raw4.mat_Line1618
25,12,0,-242.06,-6.906,16.18,477.04,A2356raw4.mat_Line1619
25,12,0,-243.72,-6.979,16.19,479.36,A2356raw4.mat_Line1620
25,12,-0,-245.01,-7.057,16.2,480.93,A2356raw4.mat_Line1621
25,12,0,-244.66,-7.149,16.21,481.71,A2356raw4.mat_Line1622
25,12,0,-228.6,-7.295,16.22,570.21,A2356raw6.mat_Line1623
25,12,0,-240.94,-7.297,16.23,478.65,A2356raw4.mat_Line1624
25,12,0,-239.34,-7.381,16.24,477.12,A2356raw4.mat_Line1625
25,12,0,-238.54,-7.464,16.25,476.18,A2356raw4.mat_Line1626
25,12,-0,-239.72,-7.53,16.26,476.79,A2356raw4.mat_Line1627
25,12,0,-240.31,-7.616,16.27,478.46,A2356raw4.mat_Line1628
25,12,0,-236.57,-7.778,16.28,576.32,A2356raw6.mat_Line1629
25,12,0,-243.75,-7.781,16.29,482.46,A2356raw4.mat_Line1630
25,12,0,-244.95,-7.856,16.3,484.15,A2356raw4.mat_Line1631
25,12,0,-246.01,-7.931,16.31,485.41,A2356raw4.mat_Line1632
25,12,-0,-246.55,-8.018,16.32,485.9,A2356raw4.mat_Line1633
25,12,0,-245.37,-8.11,16.33,484.36,A2356raw4.mat_Line1634
25,12,0,-233.57,-8.269,16.34,582.27,A2356raw6.mat_Line1635
25,12,0,-241.98,-8.269,16.35,478.33,A2356raw4.mat_Line1636
