ET,SA,SR,IA,FZ,V,P ,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
s,rad,-,rad,N,m/s,Pa,m,1/m,N,N,Nm,Nm,Nm,m,m,m,m
0,0.10221685,-1.004760622,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-15.55711638,-2326.470752,33.53891453,0,49.59312649,961.8354163,0.188463711,0,0
0,0.107028396,-1.003675465,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-13.81169729,-2370.828842,34.35037105,0,48.0691839,1209.375493,0.188389477,0,0
0,0.111231774,-1.006483339,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-15.25379019,-2398.555074,35.0922484,0,46.58553382,758.610343,0.187662942,0,0
0,0.118111057,-1.003307532,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-16.14641489,-2469.712672,35.90728755,0,43.47850294,854.4049378,0.188062467,0,0
0,0.124103267,-0.992181221,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-13.07955981,-2563.662404,36.83635484,0,41.16438336,1144.266416,0.190050702,0,0
0,0.127061449,-1.010340859,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-17.86172444,-2498.954256,37.06834326,0,39.89249968,794.7241466,0.186257858,0,0
0,0.133731603,-1.00255362,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-13.2961145,-2573.362971,37.51543634,0,38.49732932,724.2038264,0.187650408,0,0
0,0.140314263,-1.006461434,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-21.19979258,-2575.820189,38.27271209,0,34.03149312,715.0350712,0.186631959,0,0
0,0.143538523,-0.996263273,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-14.03660968,-2658.092083,38.36889326,0,33.76578208,910.3303065,0.188663746,0,0
0,0.149886091,-1.002467907,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-13.00662654,-2638.695029,38.73166615,0,32.77027212,865.6649557,0.187235665,0,0
0,0.155876742,-1.014610037,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-23.28934364,-2586.691036,38.27894227,0,27.26588705,995.2602298,0.1847486,0,0
0,0.160142255,-0.993320831,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-13.32654278,-2711.961325,39.59154431,0,28.25127477,753.0172027,0.188808564,0,0
0,0.166032125,-1.008629129,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-12.75412598,-2655.362444,39.48775004,0,26.63346981,724.1214608,0.185830979,0,0
0,0.171562947,-1.011892984,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-21.33861096,-2628.887395,39.08214242,0,22.46695806,1063.852013,0.185154709,0,0
0,0.177130021,-1.002630524,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-13.85182785,-2698.488405,39.70391411,0,22.13927759,1016.009799,0.186822338,0,0
0,0.181941347,-1.012267806,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-14.60991098,-2648.857152,39.08176695,0,21.05850825,1152.358823,0.185026738,0,0
0,0.187114012,-1.012739629,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-14.63192575,-2645.950598,39.28246379,0,19.0444956,880.070613,0.184874192,0,0
0,0.19400153,-1.009060228,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-15.51020133,-2667.10475,39.33766359,0,15.34064239,728.7798044,0.185512882,0,0
0,0.197454567,-1.018863941,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-22.16599265,-2619.240397,39.09852232,0,13.89629955,990.9184636,0.183738075,0,0
0,0.2036107,-1.016373446,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-5.465160241,-2634.896306,39.1627161,0,18.31072925,1185.321568,0.184158567,0,0
