RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,FY
25,12,0,-243.65,4.049,14.81,-425.47,A2356raw14.mat_Line1482,-581.123554209
25,12,0,-243.74,3.972,14.82,-419.89,A2356raw14.mat_Line1483,-581.578145521096
25,12,0,-261.74,3.903,14.83,-458.85,A2356raw15.mat_Line1484,-628.826607450964
25,12,0,-248.86,3.815,14.84,-427.21,A2356raw14.mat_Line1485,-595.384666142711
25,12,0,-252.29,3.742,14.85,-435.95,A2356raw14.mat_Line1486,-604.589175170967
25,12,0,-254.37,3.666,14.86,-444.19,A2356raw14.mat_Line1487,-610.30721065143
25,12,0,-256.34,3.584,14.87,-449.8,A2356raw14.mat_Line1488,-615.786685753262
25,12,-0,-255.71,3.515,14.88,-451.19,A2356raw14.mat_Line1489,-614.406535607201
25,12,0,-252.7,3.428,14.89,-446.06,A2356raw14.mat_Line1490,-606.865571231513
25,12,0,-249.47,3.339,14.9,-435.94,A2356raw14.mat_Line1491,-598.782715246356
25,12,0,-247.04,3.258,14.91,-423.34,A2356raw14.mat_Line1492,-592.784383850807
25,12,0,-245.24,3.164,14.92,-410.92,A2356raw14.mat_Line1493,-588.516240551362
25,12,0,-245.87,3.089,14.93,-402.39,A2356raw14.mat_Line1494,-590.534563848754
25,12,0,-248.05,2.993,14.94,-399.15,A2356raw14.mat_Line1495,-596.756250731476
25,12,-0,-251.44,2.914,14.95,-399.79,A2356raw14.mat_Line1496,-606.121983738274
25,12,0,-254.86,2.844,14.96,-403.1,A2356raw14.mat_Line1497,-615.577649231141
25,12,0,-257.22,2.758,14.97,-406.85,A2356raw14.mat_Line1498,-622.396165577318
25,12,0,-257.75,2.602,14.99,-409.04,A2356raw14.mat_Line1500,-624.951826555607
25,12,0,-254.5,2.524,15,-404.21,A2356raw14.mat_Line1501,-616.942715364653
25,12,0,-251.74,2.45,15.01,-395.34,A2356raw14.mat_Line1502,-610.241175582602
25,12,0,-248.65,2.366,15.02,-383.68,A2356raw14.mat_Line1503,-602.794875851093
25,12,0,-247.62,2.281,15.03,-370.78,A2356raw14.mat_Line1504,-600.873735140269
25,12,0,-248.26,2.188,15.04,-359.93,A2356raw14.mat_Line1505,-603.540000980953
25,12,0,-250.26,2.119,15.05,-351.74,A2356raw14.mat_Line1506,-609.652807277848
25,12,0,-253.21,2.045,15.06,-346.02,A2356raw14.mat_Line1507,-618.462591984473
25,12,0,-255.94,1.963,15.07,-342.95,A2356raw14.mat_Line1508,-626.924858967945
25,12,0,-258.68,1.899,15.08,-340.5,A2356raw14.mat_Line1509,-635.291393448776
25,12,0,-260.42,1.817,15.09,-337.08,A2356raw14.mat_Line1510,-641.381628139586
25,12,0,-232.77,-4.812,15.92,437.36,A2356raw15.mat_Line1593,551.324149333885
25,12,0,-235.14,-4.901,15.93,443.09,A2356raw15.mat_Line1594,557.244255087393
25,12,-0,-236.45,-4.981,15.94,448.98,A2356raw15.mat_Line1595,560.467555303435
25,12,0,-240.38,-5.047,15.95,392.92,A2356raw14.mat_Line1596,570.463918147472
25,12,0,-235.23,-5.144,15.96,457.79,A2356raw15.mat_Line1597,557.059997783789
25,12,0,-245.25,-5.219,15.97,405.91,A2356raw14.mat_Line1598,582.735012571437
25,12,0,-246.95,-5.301,15.98,408.53,A2356raw14.mat_Line1599,586.994050794511
25,12,0,-229.28,-5.375,15.99,460.31,A2356raw15.mat_Line1600,541.4770791663
25,12,0,-228.51,-5.457,16,461.73,A2356raw15.mat_Line1601,539.396049585982
25,12,0,-229.2,-5.545,16.01,464.84,A2356raw15.mat_Line1602,541.036550226149
25,12,0,-231.04,-5.611,16.02,469.16,A2356raw15.mat_Line1603,545.646647757057
25,12,0,-233.25,-5.706,16.03,474.11,A2356raw15.mat_Line1604,551.171891039205
25,12,0,-238.8,-5.776,16.04,385.49,A2356raw14.mat_Line1605,565.304465902898
25,12,-0,-239.85,-5.866,16.05,390.15,A2356raw14.mat_Line1606,567.885494443376
25,12,0,-236.93,-5.946,16.06,489.88,A2356raw15.mat_Line1607,560.293996176294
25,12,0,-244.29,-6.012,16.07,404.52,A2356raw14.mat_Line1608,579.123804956742
25,12,0,-246.1,-6.12,16.08,411.03,A2356raw14.mat_Line1609,583.656886173592
25,12,0,-247.19,-6.177,16.09,414.59,A2356raw14.mat_Line1610,586.400164141196
